READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wtslew mode data
123.517914	0.422352	-0.415608	2.96097008145324e-09	4.41395364838196e-10	-4.41395364838196e-10
124.575131	0.482423	-0.634865	2.1453054248244e-09	3.36169363495442e-10	-3.36169363495442e-10
125.661459	0.540078	-0.603905	2.08345443783173e-09	3.264773230986e-10	-3.264773230986e-10
126.608189	0.447321	-0.406653	2.87766231646709e-09	4.28976558196678e-10	-4.28976558196678e-10
127.544508	0.507298	-0.488998	2.4290548990173e-09	3.742990992572e-10	-3.742990992572e-10
128.590531	0.518070	-0.538724	2.4216954980695e-09	3.61005035600134e-10	-3.61005035600134e-10
129.624952	0.488859	-0.516352	2.62243400253982e-09	3.90929364584543e-10	-3.90929364584543e-10
130.714290	0.499025	-0.600479	2.44640588760616e-09	3.70753755017292e-10	-3.70753755017292e-10
131.846628	0.364774	-0.633313	2.82490675115556e-09	4.21112221083326e-10	-4.21112221083326e-10
132.740131	0.412419	-0.528729	3.0393055313399e-09	4.53072916523201e-10	-4.53072916523201e-10
133.661742	0.492461	-0.509192	2.90151388197085e-09	4.32532157177326e-10	-4.32532157177326e-10
134.746912	0.453421	-0.592709	2.65746098578686e-09	4.09494796314846e-10	-4.09494796314846e-10
135.611094	0.313346	-0.410760	3.74439804884402e-09	5.58181909660785e-10	-5.58181909660785e-10
136.288944	0.348899	-0.364504	3.65411801596111e-09	5.44723750654885e-10	-5.44723750654885e-10
137.049778	0.413573	-0.411935	3.2418935493815e-09	4.83272949555133e-10	-4.83272949555133e-10
137.856952	0.417684	-0.393601	3.30710122326064e-09	5.09599470679817e-10	-5.09599470679817e-10
138.626849	0.298949	-0.352213	4.31912706777441e-09	6.4385744001448e-10	-6.4385744001448e-10
139.239055	0.352140	-0.313257	4.29067087570811e-09	6.39615456258623e-10	-6.39615456258623e-10
139.965859	0.320978	-0.374665	4.18362403513548e-09	6.34029882404776e-10	-6.34029882404776e-10
140.642008	0.313771	-0.355170	4.78709054864629e-09	7.13617349115356e-10	-7.13617349115356e-10
141.248141	0.378362	-0.292362	5.12681866988344e-09	7.64260974743224e-10	-7.64260974743224e-10
141.951450	0.306644	-0.324948	5.74891269700414e-09	8.5699732273443e-10	-8.5699732273443e-10
142.540434	0.224715	-0.282339	7.09133451163902e-09	1.03437746717433e-09	-1.03437746717433e-09
143.035986	0.287810	-0.270838	5.89690616516298e-09	8.79058904311325e-10	-8.79058904311325e-10
143.637408	0.328647	-0.313613	4.73823486430257e-09	7.3012641051619e-10	-7.3012641051619e-10
144.231972	0.248243	-0.265917	7.15131755391519e-09	1.01134900489355e-09	-1.01134900489355e-09
144.782807	0.232918	-0.302592	6.51966114321345e-09	9.88057241155663e-10	-9.88057241155663e-10
145.301598	0.324356	-0.285874	9.22264837822071e-09	1.13066750502548e-09	-1.13066750502548e-09
145.898512	0.278974	-0.272557	8.14241747630984e-09	1.12336721590189e-09	-1.12336721590189e-09
146.460705	0.252300	-0.283219	1.11917898157265e-08	1.34647070626015e-09	-1.34647070626015e-09
146.966195	0.252084	-0.253189	1.20097646030731e-08	1.43000736837681e-09	-1.43000736837681e-09
147.526306	0.264855	-0.308028	9.97390952535711e-09	1.23624579351241e-09	-1.23624579351241e-09
148.046997	0.251207	-0.255836	1.21677780830352e-08	1.45341636823804e-09	-1.45341636823804e-09
148.548356	0.267565	-0.250152	1.22561267492741e-08	1.43908453212322e-09	-1.43908453212322e-09
149.079136	0.238500	-0.263215	1.22065908961423e-08	1.46856025332947e-09	-1.46856025332947e-09
149.584864	0.259396	-0.267228	1.48719883754337e-08	1.57573104158399e-09	-1.57573104158399e-09
150.082076	0.267457	-0.237816	1.27397975355657e-08	1.4902022450523e-09	-1.4902022450523e-09
150.616595	0.304041	-0.267062	9.66042542944782e-09	1.18433758073836e-09	-1.18433758073836e-09
151.163177	0.291198	-0.242541	1.17082500454582e-08	1.3165897956093e-09	-1.3165897956093e-09
151.707330	0.250541	-0.252955	9.69016573385553e-09	1.20107630189229e-09	-1.20107630189229e-09
152.217624	0.252636	-0.259754	1.03549682048497e-08	1.22432293973588e-09	-1.22432293973588e-09
152.743158	0.289311	-0.272898	8.9186490043727e-09	1.09339808896304e-09	-1.09339808896304e-09
153.271838	0.265896	-0.239368	1.17218376349653e-08	1.33123631846665e-09	-1.33123631846665e-09
153.799352	0.247204	-0.261618	1.13239796781346e-08	1.29442567921462e-09	-1.29442567921462e-09
154.287744	0.285413	-0.241188	9.41520183488114e-09	1.1542739199302e-09	-1.1542739199302e-09
