READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wtslew mode data
198.663376	0.829783	-0.741192	3.55639089808796e-09	5.30155402756288e-10	-5.30155402756288e-10
200.140369	0.763642	-0.647210	3.90327346775702e-09	5.90230216151795e-10	-5.90230216151795e-10
201.629803	0.637024	-0.725792	3.97048740481342e-09	6.00393880289026e-10	-6.00393880289026e-10
203.194358	0.693260	-0.927531	3.2342478886925e-09	4.89064046055079e-10	-4.89064046055079e-10
204.591074	0.668256	-0.703456	3.71734361613407e-09	5.62115028518672e-10	-5.62115028518672e-10
205.849662	0.507393	-0.590332	4.52960645560653e-09	6.84940665122453e-10	-6.84940665122453e-10
207.082854	0.774010	-0.725799	3.23602570787557e-09	4.89332953147093e-10	-4.89332953147093e-10
208.520863	0.672110	-0.664000	3.71225882713587e-09	5.61346118517483e-10	-5.61346118517483e-10
210.250639	0.794412	-1.057666	2.8052040819628e-09	4.24186568126794e-10	-4.24186568126794e-10
211.634841	0.659163	-0.589790	4.31488009349444e-09	6.52471022833398e-10	-6.52471022833398e-10
213.028597	0.731412	-0.734594	3.81394024983231e-09	5.76721771245838e-10	-5.76721771245838e-10
214.416052	0.703214	-0.656044	4.21732049207333e-09	6.46960400198774e-10	-6.46960400198774e-10
215.764493	0.637528	-0.645227	4.29630467244428e-09	6.68707184666873e-10	-6.68707184666873e-10
217.167749	0.659358	-0.765728	3.7849812071436e-09	5.80637160125801e-10	-5.80637160125801e-10
218.429231	0.652146	-0.602123	4.27178019460594e-09	6.36799339648418e-10	-6.36799339648418e-10
219.996824	0.767598	-0.915448	3.03254041413615e-09	4.58563041979979e-10	-4.58563041979979e-10
221.568072	0.740637	-0.803651	3.28198548004634e-09	4.96282659186198e-10	-4.96282659186198e-10
223.215349	0.760408	-0.906640	3.08555407426329e-09	4.87334058501913e-10	-4.87334058501913e-10
224.788734	0.788250	-0.812976	3.48552665346184e-09	5.27060945719448e-10	-5.27060945719448e-10
226.291289	0.726781	-0.714305	4.04856981568481e-09	6.12201135534959e-10	-6.12201135534959e-10
227.633053	0.601945	-0.614983	5.045580513067e-09	7.52150676698574e-10	-7.52150676698574e-10
228.980398	0.754409	-0.745400	4.11735161492491e-09	6.13778488344248e-10	-6.13778488344248e-10
230.383659	0.829592	-0.648852	3.95925520237569e-09	6.07371730362878e-10	-6.07371730362878e-10
231.796858	0.763198	-0.583607	4.26136855425667e-09	6.44379265718219e-10	-6.44379265718219e-10
233.476134	0.727841	-0.916078	3.40466955026002e-09	5.07538195004043e-10	-5.07538195004043e-10
234.917739	0.730893	-0.713764	3.71355588843579e-09	5.61542276378802e-10	-5.61542276378802e-10
236.312570	0.693540	-0.663939	3.83749330233469e-09	5.80283391058928e-10	-5.80283391058928e-10
237.852147	0.767636	-0.846037	3.09833861015329e-09	4.75302356676797e-10	-4.75302356676797e-10
239.261340	0.835125	-0.641556	3.29648599482333e-09	5.05699225491044e-10	-5.05699225491044e-10
240.828236	0.696880	-0.731771	3.38347614769373e-09	5.04378819193854e-10	-5.04378819193854e-10
242.596977	0.876262	-1.071861	2.40003266144545e-09	3.57775764609965e-10	-3.57775764609965e-10
244.338600	0.787454	-0.865361	2.73262543216502e-09	4.07355753859914e-10	-4.07355753859914e-10
245.781846	0.692791	-0.655792	3.25278317622225e-09	4.84896289051248e-10	-4.84896289051248e-10
247.087345	0.670048	-0.612707	3.2934263138625e-09	4.98012734932955e-10	-4.98012734932955e-10
248.272181	0.541997	-0.514788	3.94916712527902e-09	5.88707087711067e-10	-5.88707087711067e-10
249.594696	0.820701	-0.780519	2.66999157015261e-09	4.0374054887284e-10	-4.0374054887284e-10
251.115644	0.765760	-0.700246	3.07423956327448e-09	4.58280569045853e-10	-4.58280569045853e-10
252.486545	0.693626	-0.605141	3.60413996433391e-09	5.37273440022068e-10	-5.37273440022068e-10
254.119685	0.711522	-0.939514	2.98659590440603e-09	4.45215409494447e-10	-4.45215409494447e-10
255.502888	0.708927	-0.671682	3.83127556532601e-09	5.71132868273332e-10	-5.71132868273332e-10
256.888344	0.620452	-0.676530	4.27392232485194e-09	6.55643444355535e-10	-6.55643444355535e-10
258.105662	0.600477	-0.596866	4.92210648504967e-09	7.55078483903637e-10	-7.55078483903637e-10
259.623326	0.723174	-0.917187	3.87494323416357e-09	5.94437771313183e-10	-5.94437771313183e-10
260.816544	0.423081	-0.470044	7.72620514914189e-09	1.15175464423683e-09	-1.15175464423683e-09
262.111113	0.772431	-0.871489	4.01915195866349e-09	6.07752746040784e-10	-6.07752746040784e-10
263.570981	0.614888	-0.687437	4.77823581389394e-09	7.12297316955662e-10	-7.12297316955662e-10
265.006337	0.656213	-0.820468	3.93072074668932e-09	5.85957294655397e-10	-5.85957294655397e-10
266.379730	0.686557	-0.717179	3.87065934288963e-09	5.77003836874668e-10	-5.77003836874668e-10
267.792055	0.603244	-0.725768	3.81945684337374e-09	5.69371064801569e-10	-5.69371064801569e-10
269.080535	0.585065	-0.685236	3.88928340807115e-09	5.79780120852883e-10	-5.79780120852883e-10
270.165479	0.702815	-0.499879	4.21235787817315e-09	6.36968173534551e-10	-6.36968173534551e-10
271.595760	0.724307	-0.727466	3.70249875121079e-09	5.51935972286158e-10	-5.51935972286158e-10
272.845464	0.695082	-0.525396	4.59162788279575e-09	6.84479494714876e-10	-6.84479494714876e-10
274.280879	0.670507	-0.740333	4.16566083620533e-09	6.20980093757259e-10	-6.20980093757259e-10
275.769952	0.677684	-0.818567	4.03736986368785e-09	6.10507471177572e-10	-6.10507471177572e-10
277.396281	0.679262	-0.948645	3.72038168681911e-09	5.54601753037982e-10	-5.54601753037982e-10
278.798670	0.588074	-0.723127	4.58549897446216e-09	6.8356582845617e-10	-6.8356582845617e-10
279.965011	0.590624	-0.578267	4.87975200509005e-09	7.70710587542163e-10	-7.70710587542163e-10
281.137275	0.683325	-0.581639	4.69514674220464e-09	6.99911169612226e-10	-6.99911169612226e-10
282.475012	0.720857	-0.654413	4.14212442753709e-09	6.44709478320781e-10	-6.44709478320781e-10
283.993949	0.778232	-0.798080	3.56977410078237e-09	5.32150557685902e-10	-5.32150557685902e-10
285.440046	0.550842	-0.667864	4.31295507999456e-09	6.42937429726772e-10	-6.42937429726772e-10
286.858550	0.795828	-0.867662	2.95480628763836e-09	4.40476519023244e-10	-4.40476519023244e-10
288.320985	0.738910	-0.666608	3.22896496432522e-09	4.88265235167839e-10	-4.88265235167839e-10
289.626512	0.692988	-0.566616	3.49763517309989e-09	5.21396622822807e-10	-5.21396622822807e-10
290.993242	0.576988	-0.673743	3.77899910006684e-09	5.63339974509665e-10	-5.63339974509665e-10
292.092373	0.525767	-0.522143	4.7714015539991e-09	7.11278504241836e-10	-7.11278504241836e-10
293.375758	0.695933	-0.757619	3.5884163540119e-09	5.5048300067384e-10	-5.5048300067384e-10
294.875688	0.847039	-0.803997	3.36788342982274e-09	5.24201171274684e-10	-5.24201171274684e-10
296.366879	0.629707	-0.644152	4.57502672495455e-09	6.82004776765237e-10	-6.82004776765237e-10
297.797797	0.716389	-0.801211	3.74760784370236e-09	5.58660368826423e-10	-5.58660368826423e-10
299.304563	0.696980	-0.790376	3.68568790877766e-09	5.57328199334965e-10	-5.57328199334965e-10
300.633467	0.782487	-0.631924	3.83284238728602e-09	5.71366388639465e-10	-5.71366388639465e-10
302.008545	0.626115	-0.592591	4.34694685666284e-09	6.480045593639e-10	-6.480045593639e-10
303.365980	0.647509	-0.731320	3.75894756126517e-09	5.76643388370379e-10	-5.76643388370379e-10
304.678695	0.530371	-0.665207	4.47196841525491e-09	6.76224940204418e-10	-6.76224940204418e-10
305.799982	0.496114	-0.590916	5.0582981739748e-09	7.54046584358247e-10	-7.54046584358247e-10
306.872819	0.620634	-0.576722	4.66719476977934e-09	6.95744259784536e-10	-6.95744259784536e-10
308.168615	0.637818	-0.675162	4.26138628988711e-09	6.44381952525074e-10	-6.44381952525074e-10
309.536371	0.677341	-0.729938	4.02870498391097e-09	6.00563924129492e-10	-6.00563924129492e-10
311.029039	0.750327	-0.815326	3.54731604212762e-09	5.44177939183934e-10	-5.44177939183934e-10
312.236419	0.519691	-0.457054	5.76386570433615e-09	8.71578110022642e-10	-8.71578110022642e-10
313.454614	0.689220	-0.698504	4.1102471131237e-09	6.12719519844275e-10	-6.12719519844275e-10
314.851333	0.527204	-0.707500	4.3775600330039e-09	6.91394099909379e-10	-6.91394099909379e-10
316.188128	0.816552	-0.809591	3.40633253011617e-09	5.15085740421486e-10	-5.15085740421486e-10
317.603765	0.555573	-0.599084	4.69152481886955e-09	7.19705928349948e-10	-7.19705928349948e-10
318.936089	0.799560	-0.776752	3.44048953261274e-09	5.20250768056322e-10	-5.20250768056322e-10
320.668704	0.878083	-0.933055	3.02134958240543e-09	4.51736824117739e-10	-4.51736824117739e-10
322.389917	0.681587	-0.843129	3.51623732073533e-09	5.2416973483699e-10	-5.2416973483699e-10
323.763429	0.690463	-0.691925	3.8524892271553e-09	5.74295200618243e-10	-5.74295200618243e-10
325.078973	0.593625	-0.625081	4.29191636520816e-09	6.48998503111712e-10	-6.48998503111712e-10
326.478897	0.807375	-0.806299	3.18214637472256e-09	4.88158870265184e-10	-4.88158870265184e-10
328.110983	0.675098	-0.824712	3.47417000498515e-09	5.17898727538991e-10	-5.17898727538991e-10
329.378596	0.592388	-0.592515	4.30010480665454e-09	6.50236784590261e-10	-6.50236784590261e-10
330.684637	0.734561	-0.713653	3.51898368747419e-09	5.2457914489431e-10	-5.2457914489431e-10
