READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
181.327163	0.612510	-0.538582	2.6867668891518e-09	4.00519554858622e-10	-4.00519554858622e-10
182.596582	0.709452	-0.656908	2.291733675467e-09	3.41631468432219e-10	-3.41631468432219e-10
183.966966	0.765914	-0.660932	2.18938118694651e-09	3.32491458803996e-10	-3.32491458803996e-10
185.476219	0.745795	-0.743340	2.12737130209254e-09	3.17129758390789e-10	-3.17129758390789e-10
187.151628	0.966902	-0.929614	1.65696994776082e-09	2.47006483141873e-10	-2.47006483141873e-10
188.958001	0.786643	-0.839471	1.90885921603566e-09	2.84555950065328e-10	-2.84555950065328e-10
190.360983	0.629047	-0.616339	2.43245859993461e-09	3.65981521239417e-10	-3.65981521239417e-10
191.623593	0.615390	-0.633562	2.4106876465141e-09	3.59364096337464e-10	-3.59364096337464e-10
193.048873	0.666770	-0.809890	2.02813248003401e-09	3.05147601553787e-10	-3.05147601553787e-10
194.582958	0.614703	-0.867315	2.042045452575e-09	3.04410187920087e-10	-3.04410187920087e-10
195.962217	0.955847	-0.764556	1.76056093100792e-09	2.62448919528366e-10	-2.62448919528366e-10
197.712152	0.709279	-0.794088	2.01691045433015e-09	3.00663250280782e-10	-3.00663250280782e-10
199.145773	0.794998	-0.724343	2.01233988595467e-09	2.99981920892382e-10	-2.99981920892382e-10
200.665443	0.524279	-0.724672	2.47654038007737e-09	3.69180862667781e-10	-3.69180862667781e-10
201.891077	0.568935	-0.701355	2.39529543373416e-09	3.63762732431675e-10	-3.63762732431675e-10
203.303489	0.706140	-0.843476	1.97217769666423e-09	2.93994901998218e-10	-2.93994901998218e-10
204.928607	0.644860	-0.918978	1.94869222983663e-09	2.90493884461134e-10	-2.90493884461134e-10
206.108384	0.512992	-0.534917	2.95922845977364e-09	4.41135730543099e-10	-4.41135730543099e-10
207.373365	0.610813	-0.751988	2.28142884868167e-09	3.46470312854921e-10	-3.46470312854921e-10
208.555948	0.632683	-0.571771	2.59280848783596e-09	3.9010734281438e-10	-3.9010734281438e-10
209.731773	0.494092	-0.543142	3.02065694356182e-09	4.50292958914924e-10	-4.50292958914924e-10
210.856425	0.566779	-0.630559	2.62141234957738e-09	3.94410995296188e-10	-3.94410995296188e-10
211.940430	0.489743	-0.517226	3.18605021738027e-09	4.79364986118056e-10	-4.79364986118056e-10
212.960768	0.568911	-0.530595	2.95543148549613e-09	4.48828050569839e-10	-4.48828050569839e-10
214.184392	0.745443	-0.654713	2.30738421199896e-09	3.4716314330096e-10	-3.4716314330096e-10
215.713682	0.696391	-0.783848	2.14193269970716e-09	3.22269701416489e-10	-3.22269701416489e-10
217.188696	0.754971	-0.778623	2.05054145763887e-09	3.05676691517741e-10	-3.05676691517741e-10
218.768602	0.641062	-0.824935	2.11699847078097e-09	3.15583470676537e-10	-3.15583470676537e-10
220.317871	0.737495	-0.908207	1.86137356274483e-09	2.77477160303842e-10	-2.77477160303842e-10
221.670186	0.828035	-0.614820	2.08102156268419e-09	3.1603534963379e-10	-3.1603534963379e-10
223.330212	0.607314	-0.831991	2.07552743368812e-09	3.15201003783874e-10	-3.15201003783874e-10
224.842835	1.035696	-0.905309	1.54744586609933e-09	2.32824753066305e-10	-2.32824753066305e-10
226.841463	0.791283	-0.962932	1.70744324182734e-09	2.56897568227061e-10	-2.56897568227061e-10
228.552417	0.895029	-0.919670	1.66974425840969e-09	2.48910791283348e-10	-2.48910791283348e-10
230.127605	0.714678	-0.680160	2.18441405077333e-09	3.25633251610782e-10	-3.25633251610782e-10
