READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
229.603852	1.034494	-1.041755	1.70773639038357e-07	1.98257920181402e-08	-1.98257920181402e-08
231.675531	1.035505	-1.037185	1.73042685776426e-07	1.99585640500057e-08	-1.99585640500057e-08
233.642789	0.930980	-0.931753	2.01992419991753e-07	2.19625246441972e-08	-2.19625246441972e-08
235.607842	1.132911	-1.034073	1.61165649996376e-07	1.90441769526955e-08	-1.90441769526955e-08
237.833959	1.100461	-1.093206	1.62796129344678e-07	1.87896254122161e-08	-1.87896254122161e-08
240.197732	1.195430	-1.263311	1.40495489478105e-07	1.68514703071969e-08	-1.68514703071969e-08
242.688646	1.177511	-1.295484	1.41262920550849e-07	1.6742053756741e-08	-1.6742053756741e-08
245.198096	1.267355	-1.331939	1.38205012681332e-07	1.58589388967488e-08	-1.58589388967488e-08
247.744954	1.417677	-1.279503	1.27038135544239e-07	1.53294349816784e-08	-1.53294349816784e-08
250.667285	1.699535	-1.504654	1.09508418349573e-07	1.28636709921354e-08	-1.28636709921354e-08
253.558962	1.179433	-1.192142	1.46269168646979e-07	1.74391145262205e-08	-1.74391145262205e-08
256.349406	1.313875	-1.611011	1.16292077047983e-07	1.42041253752549e-08	-1.42041253752549e-08
259.075799	1.551489	-1.412518	1.20738181973391e-07	1.39353756171008e-08	-1.39353756171008e-08
262.027449	1.978403	-1.400162	1.03129390012817e-07	1.2259054203057e-08	-1.2259054203057e-08
265.751673	1.508203	-1.745821	1.10589402933179e-07	1.26900649236824e-08	-1.26900649236824e-08
268.834122	1.758086	-1.574246	1.08564855170981e-07	1.23859034911643e-08	-1.23859034911643e-08
272.288756	1.774502	-1.696548	1.05184515644884e-07	1.18971870637803e-08	-1.18971870637803e-08
275.863295	2.195876	-1.800037	8.70804724373144e-08	1.03822722780397e-08	-1.03822722780397e-08
280.013123	2.180748	-1.953953	8.71286209063671e-08	1.00270121934521e-08	-1.00270121934521e-08
284.520710	2.583550	-2.326838	7.19055740391099e-08	8.47158313480421e-09	-8.47158313480421e-09
289.478026	2.712736	-2.373766	7.0726874129234e-08	8.18700098118245e-09	-8.18700098118245e-09
294.484229	2.414099	-2.293467	7.60058074738325e-08	8.84970605864554e-09	-8.84970605864554e-09
299.504780	2.207882	-2.606452	7.48701675783221e-08	8.66660859160067e-09	-8.66660859160067e-09
304.284313	3.190918	-2.571651	5.91695789129115e-08	7.27141381903845e-09	-7.27141381903845e-09
309.978061	2.279481	-2.502829	7.53689507476501e-08	8.64854001232114e-09	-8.64854001232114e-09
314.995586	2.933659	-2.738045	6.39823494222511e-08	7.25769002157174e-09	-7.25769002157174e-09
320.975314	2.531493	-3.046070	6.33795016355183e-08	7.4230899678318e-09	-7.4230899678318e-09
326.123115	2.902523	-2.616308	6.85522215889369e-08	7.51618186675822e-09	-7.51618186675822e-09
331.773641	2.838470	-2.748003	6.65706536603521e-08	7.46543701589407e-09	-7.46543701589407e-09
337.960335	3.915939	-3.348223	4.95013667684369e-08	5.74681085277373e-09	-5.74681085277373e-09
344.965543	3.463238	-3.089270	3.55227136985746e-08	5.19485165872534e-09	-5.19485165872534e-09
351.846941	3.714377	-3.418160	4.97537907901752e-08	5.86176219434218e-09	-5.86176219434218e-09
358.998109	3.441288	-3.436792	5.23137092685202e-08	6.14515627352788e-09	-6.14515627352788e-09
366.833967	4.406773	-4.394569	3.88057363767348e-08	4.8885071922683e-09	-4.8885071922683e-09
375.409501	3.545540	-4.168762	4.71263532708199e-08	5.58527274530564e-09	-5.58527274530564e-09
