sn2010bh  11.6 -28000 2700 2700
sn2010bh  14.4 -26000 2600 2600
sn2010bh  15.4 -22000 4900 2700
sn2010bh  17.3 -25000 1700 1600
sn2010bh  23.9 -20000 1400 1600
sn2012ap  -5.0 -15000 4500 4500
sn2012ap  -3.0 -16000 4800 4800
sn2012ap  -1.0 -15000 4700 4700
sn2012ap   1.0 -14000 3900 3900
sn2012ap   2.0 -16000 2800 2800
sn2012ap   4.0 -15000 2200 2200
sn2012ap   7.0 -14000 2000 2000
sn2012ap   8.0 -14000 1200 1300
sn2012ap  14.0 -14000 2600 2600
sn2012ap  25.0 -10000 1200 1200
sn2012bz   0.8 -23000 4000 3900
sn2012bz   3.9 -23000 2300 2200
sn2012bz   8.6 -24000 1300 1300
sn2013cq  -1.3 -28000 4800 4700
sn2013dx  -5.0 -23000 4600 4600
sn2013dx  -5.0 -20000 4600 4600
sn2013dx  -3.2 -21000 4800 4800
sn2013dx  -1.5 -21000 4700 4700
sn2013dx  -0.7 -20000 4700 4700
sn2013dx   1.3 -19000 4000 3900
sn2013dx   1.3 -19000 3900 3900
sn2013dx   2.3 -18000 2900 2800
sn2013dx   4.6 -19000 2300 2200
sn2013dx   4.6 -18000 2400 2300
sn2013dx   6.4 -14000 2100 2100
sn2013dx  10.7 -18000 2400 2400
sn2013dx  13.4 -16000 2700 2700
sn2013dx  16.9 -17000 1600 1600
sn2013dx  19.5 -15000 1300 1300
sn2013dx  23.0 -15000 1400 1400
sn1997ef -14.2 -21000 4800 4800
sn1997ef -12.2 -19000 4800 4800
sn1997ef -11.2 -20000 4800 4800
sn1997ef -10.2 -18000 4800 4800
sn1997ef  -9.2 -19000 4800 4800
sn1997ef  -6.2 -15000 4600 4600
sn1997ef  -5.2 -16000 4600 4600
sn1997ef  -5.2 -15000 4600 4600
sn1997ef  -4.2 -15000 4800 4800
sn1997ef  12.8 -11000 2700 2700
sn1997ef  13.8 -12000 2600 2600
sn1997ef  15.8  -9600 1600 1600
sn1997ef  16.9  -9700 1600 2500
sn1997ef  18.9  -9500 1500 1500
sn1997ef  19.9  -8000 1400 1400
sn1997ef  21.9  -7400 1300 1300
sn1997ef  23.9  -6600 1100 1200
sn1997ef  26.9  -6800  890  980
sn1997ef  40.9  -6400 1700 1700
sn1997ef  44.9  -6300   61  160
sn1997ef  46.9  -6200  810 2100
sn1997ef  48.9  -6300  810  850
sn2002ap  -5.5 -16000 4600 4600
sn2002ap  -4.5 -16000 4600 4600
sn2002ap  -1.9 -15000 4700 4700
sn2002ap  -0.9 -14000 4700 4700
sn2002ap   0.1 -14000 3900 3900
sn2002ap   1.1 -13000 3900 3900
sn2002ap   2.7 -12000 2800 2800
sn2002ap   4.1 -12000 2200 2700
sn2002ap   5.1 -11000 2200 2500
sn2002ap   6.1 -10000 2000 2000
sn2002ap   7.1  -9600 2000 2000
sn2002ap   9.5 -11000 2300 2400
sn2002ap  12.1  -9400 2700 2700
sn2002ap  26.1  -9700  860  860
sn2002ap  30.1  -9500 1100 1100
sn2002ap  31.1  -9600 1100 1100
sn2003jd  -3.6 -18000 4800 4800
sn2003jd  -2.6 -18000 4800 4800
sn2003jd  -1.6 -17000 4700 4700
sn2003jd  -0.6 -18000 4700 4700
sn2003jd   0.4 -17000 3900 3900
sn2003jd  18.4 -12000 1500 1500
sn2003jd  19.4 -12000 1400 1500
sn2003jd  20.4 -11000 1300 1300
sn2003jd  21.4 -12000 1300 1300
sn2003jd  22.4 -12000 1400 1300
sn2003jd  23.4 -11000 1300 1400
sn2003jd  26.4 -11000  890  980
sn2003jd  27.4 -10000  910  900
sn2003jd  33.4 -11000 1300 1300
sn2003jd  46.4  -6500  860 2100
sn2003jd  47.4  -9300  870  980
sn2003jd  48.4 -10000  800  800
sn2003jd  49.4  -9900  800  810
sn2003jd  49.4  -9400  840  860
sn2003jd  51.4 -11000  800  840
sn2007D   -8.1 -13000 4000 4000
sn2007bg   5.9 -14000 2100 2100
sn2007bg   6.9 -14000 2000 2900
sn2007bg  27.2 -10000  970 1000
sn2007bg  59.1  -6700 1100 1100
sn2007ru  -3.0 -19000 4800 4800
sn2007ru   0.0 -19000 3900 3900
sn2007ru   4.0 -18000 2200 2200
sn2007ru   5.0 -17000 2200 2200
sn2007ru   9.0 -17000 1600 1200
sn2007ru  13.0 -14000 2700 2700
sn2007ru  16.0 -13000 1600 1700
sn2007ru  29.0 -13000  950  990
sn2007ru  36.0 -12000 1500 1500
sn2007ru  59.0 -16000 1100 1100
sn2010ay  15.7 -24000 1600 1600
sn2010ay  25.5 -21000  880  870
PTF10bzf   2.2 -23000 2800 2800
PTF10bzf   7.0 -21000 2000 2100
PTF10qts  -1.2 -18000 4700 4700
PTF10qts   0.6 -20000 3900 3900
PTF10qts   9.8 -24000 2300 2400
PTF10qts  17.1 -19000 1700 1700
PTF10qts  19.9 -13000 1300 1300
PTF10qts  23.6 -19000 2100 2000
PTF10vgv  -6.6 -15000 4000 4100
PTF10vgv   4.2  -8400 2200 2200
PTF10vgv   8.2  -7600 1100 1200
PTF10vgv  36.7  -7400 1500 9000
